id,referencia,marca,capacidad,ciudad,responsable
8780,ach03,kalley,114,bolombolo,rosa
8634,ach03,rico,136,caucacia,rosa
9350,ach03,sony,178,bolombolo,luzma
21,ach02,rico,182,yolombo,rosa
1028,ach01,kalley,180,bello,jairo
6146,ach03,kalley,112,bolombolo,jairo
8569,ach01,kalley,123,yolombo,jairo
7611,ach01,sony,184,yolombo,jairo
8962,ach01,sony,200,caucacia,luzma
6341,ach01,sony,124,caucacia,luzma
2627,ach02,sony,106,bolombolo,jairo
9317,ach02,sony,185,"medellin,",jairo
5782,ach01,kalley,134,bello,carlos
9170,ach01,kalley,127,"medellin,",jairo
3070,ach02,rico,179,caucacia,jaime
2770,ach02,sony,110,caucacia,jairo
5577,ach03,rico,138,caucacia,luzma
2140,ach02,rico,121,caucacia,carlos
1930,ach01,sony,166,bello,jairo
1548,ach02,rico,157,bolombolo,carlos
2281,ach01,sony,146,bello,carlos
175,ach03,kalley,188,bolombolo,jaime
1580,ach02,rico,180,bolombolo,jairo
6427,ach02,sony,130,caucacia,carlos
5526,ach03,kalley,108,bello,jairo
441,ach01,sony,155,bolombolo,rosa
9398,ach01,kalley,152,"medellin,",carlos
7335,ach03,rico,195,bolombolo,rosa
2473,ach02,sony,168,bolombolo,jairo
406,ach02,rico,124,bello,jaime
6757,ach03,kalley,151,"medellin,",jairo
2718,ach03,kalley,102,bolombolo,luzma
3830,ach03,rico,101,bello,luzma
1351,ach01,rico,170,bello,rosa
4158,ach01,sony,139,bello,rosa
3984,ach01,sony,162,"medellin,",jaime
6487,ach01,rico,170,bolombolo,carlos
7203,ach01,sony,182,caucacia,carlos
8542,ach02,sony,192,bello,luzma
1491,ach03,rico,150,"medellin,",carlos
525,ach01,sony,127,yolombo,luzma
4425,ach02,rico,179,yolombo,carlos
7060,ach01,rico,198,yolombo,luzma
7905,ach01,kalley,103,yolombo,luzma
2505,ach02,sony,185,bello,rosa
340,ach01,rico,145,bolombolo,jairo
8982,ach02,rico,186,bolombolo,luzma
8208,ach01,kalley,158,bello,luzma
9128,ach02,sony,162,yolombo,jaime
9334,ach02,rico,165,bolombolo,carlos
3823,ach03,kalley,167,bello,jaime
607,ach02,sony,173,bello,carlos
3484,ach01,sony,157,"medellin,",carlos
8064,ach03,sony,175,caucacia,luzma
1507,ach03,sony,161,"medellin,",carlos
1349,ach02,rico,192,yolombo,jaime
6854,ach02,sony,182,caucacia,rosa
8671,ach02,kalley,108,bolombolo,carlos
4749,ach03,sony,142,caucacia,rosa
14,ach03,kalley,128,bello,luzma
6506,ach01,sony,160,yolombo,rosa
422,ach03,kalley,171,bello,jairo
9282,ach03,rico,140,"medellin,",jaime
7268,ach01,sony,177,bello,luzma
4818,ach02,kalley,167,bello,rosa
4634,ach03,kalley,157,bolombolo,rosa
3942,ach03,rico,185,bello,luzma
4304,ach03,kalley,134,caucacia,luzma
7923,ach01,kalley,195,"medellin,",carlos
1099,ach03,rico,137,bello,rosa
3444,ach01,kalley,129,caucacia,luzma
7392,ach03,kalley,179,bello,jairo
686,ach03,rico,163,caucacia,jairo
9774,ach01,kalley,100,yolombo,carlos
2566,ach03,sony,135,yolombo,luzma
2383,ach03,sony,173,caucacia,luzma
386,ach01,rico,152,yolombo,jaime
3117,ach01,kalley,113,"medellin,",luzma
4807,ach01,kalley,168,bello,jaime
498,ach03,kalley,165,bello,carlos
1091,ach01,rico,102,bolombolo,jairo
485,ach03,rico,121,yolombo,jairo
5931,ach02,rico,195,bolombolo,jaime
6799,ach03,rico,106,bello,carlos
1821,ach02,kalley,200,bello,rosa
3291,ach03,rico,178,"medellin,",carlos
9886,ach02,kalley,116,bello,rosa
6053,ach01,kalley,194,yolombo,rosa
685,ach01,kalley,115,"medellin,",jairo
4920,ach03,rico,191,yolombo,jaime
1260,ach01,sony,177,yolombo,jairo
6751,ach02,kalley,101,yolombo,rosa
5824,ach02,rico,165,"medellin,",rosa
6128,ach02,rico,180,bolombolo,rosa
9739,ach02,rico,109,bolombolo,luzma
9663,ach01,rico,123,caucacia,luzma
11,ach03,kalley,199,"medellin,",jairo
4234,ach02,rico,150,yolombo,jairo
5353,ach02,rico,178,bello,luzma
2999,ach01,rico,167,bello,jaime
8831,ach01,rico,178,bolombolo,carlos
5472,ach03,rico,151,bello,jairo
322,ach01,sony,152,yolombo,rosa
5793,ach03,sony,163,caucacia,carlos
742,ach02,kalley,154,"medellin,",carlos
347,ach02,sony,105,"medellin,",luzma
7243,ach01,kalley,142,bolombolo,jaime
2014,ach01,kalley,151,yolombo,luzma
4407,ach01,rico,127,bello,rosa
9614,ach01,kalley,181,bolombolo,rosa
5595,ach02,sony,129,yolombo,jairo
391,ach03,rico,113,yolombo,jaime
6118,ach01,sony,113,"medellin,",jaime
8063,ach02,rico,144,yolombo,rosa
3806,ach01,sony,162,bolombolo,carlos
2628,ach03,sony,146,"medellin,",jaime
547,ach03,rico,149,"medellin,",jairo
1556,ach02,rico,159,bolombolo,carlos
7130,ach01,rico,126,yolombo,jaime
8491,ach02,sony,137,caucacia,luzma
8670,ach03,rico,159,"medellin,",luzma
8818,ach01,rico,126,bolombolo,jairo
9358,ach03,kalley,155,yolombo,carlos
6047,ach03,kalley,123,bello,luzma
2064,ach01,sony,171,bello,jairo
3452,ach01,sony,138,"medellin,",jairo
6228,ach03,kalley,124,caucacia,jaime
8312,ach02,sony,161,bolombolo,luzma
7140,ach03,kalley,133,yolombo,rosa
2601,ach02,kalley,131,yolombo,carlos
5943,ach01,sony,108,bello,luzma
9550,ach03,sony,108,bolombolo,luzma
5570,ach03,sony,159,bolombolo,jaime
6801,ach02,sony,192,bello,luzma
